time,open,high,low,close,volume
1602288000,11051.03,11475.78,11050.98,11293.76,1757270901.93
1602374400,11293.76,11438.87,11273.4,11369.74,1173869213.91
1602460800,11369.74,11718.49,11216.73,11530.36,1893560270.74
1602547200,11530.36,11554.87,11307.66,11419.92,1856413960.17
1602633600,11419.92,11543.14,11289.8,11417.69,1785100421.03
1602720000,11417.69,11594.35,11258.69,11503.71,1983513162.61
1602806400,11503.71,11538.46,11215.5,11317.25,1933337565.79
1602892800,11317.25,11398.81,11265.08,11359.62,1071817865.54
1602979200,11359.62,11505.42,11344.56,11503.9,995483169.07
1603065600,11503.9,11820.45,11410.21,11749.53,1776603751.89
1603152000,11749.53,12031.05,11682.97,11907.97,2306001737.11
1603238400,11907.97,13204.48,11887.29,12784.26,3978237489.58
1603324800,12784.26,13176.72,12683.9,12964.71,2984029062.56
1603411200,12964.71,13020.61,12725.52,12921.99,2050301296.46
1603497600,12921.99,13159,12869.67,13107.29,1648402703.77
1603584000,13107.29,13338.59,12895.01,13025.96,1785260182.5
1603670400,13025.96,13221.02,12770.09,13049.52,2250901025.2
1603756800,13049.52,13773.85,13035.27,13640.98,2191456503.19
1603843200,13640.98,13849.12,12903.9,13273.23,1607291415.16
1603929600,13273.23,13627.99,12956.31,13450.74,2027386486.75
1604016000,13450.74,13655.05,13120.11,13550.67,2934659136.96
1604102400,13550.67,14068.28,13414.98,13779.68,2782818184.94
1604188800,13779.68,13875.68,13604.73,13740.64,1878636078.82
1604275200,13740.64,13810.59,13192.52,13548.77,2417876018.13
1604361600,13548.77,14051.42,13285.93,14008.25,1349849032.97
1604448000,14008.25,14241.65,13527.65,14130.56,1577900207.89
1604534400,14130.56,15726.03,14089.96,15584.53,2107988172.81
1604620800,15584.53,15950.88,15207.85,15566.33,1929041939.45
1604707200,15566.33,15747.42,14421.79,14816.83,1420994409.17
1604793600,14816.83,15642.58,14708.6,15476.34,1314821484.07
1604880000,15476.34,15799.69,14815.25,15323.94,1765884866.19
1604966400,15323.94,15457.45,15077.23,15286.1,1457543222.25
1605052800,15286.1,15951.06,15265.71,15676.34,2760629031.07
1605139200,15676.34,16328.75,15450.07,16287.81,3450076392.95
1605225600,16287.81,16469.02,15948.21,16310.36,2768273384.22
1605312000,16310.36,16314.69,15689.35,16052.8,2299369825.5
1605398400,16052.8,16141.32,15756.98,15931.98,1828192724.03
1605484800,15931.98,16869.21,15846.91,16705.18,3133374982.16
1605571200,16705.18,17850.66,16544.44,17657.42,4154187989.31
1605657600,17657.42,18462.35,17276.6,17770.98,5399289241.01
1605744000,17770.98,18166.31,17343.91,17801.63,4115810746.09
1605830400,17801.63,18804.58,17746.64,18655.64,3768927774.69
1605916800,18655.64,18962.1,18347.75,18691.59,3545265989.61
1606003200,18691.59,18738.96,17643.9,18414.69,3700308423.05
1606089600,18414.69,18756.87,18010.46,18369.8,3906468358.7
1606176000,18369.8,19406.14,18109.97,19147.3,5160892141.25
1606262400,19147.3,19478.79,18509.47,18718.02,4394165007.98
1606348800,18718.02,18906.35,16221.22,17148.12,6410923864.76
1606435200,17148.12,17448.04,16457.69,17137.58,3761093311.44
1606521600,17137.58,17873.11,16870.1,17722.9,2946790393.52
1606608000,17722.9,18339.34,17526.36,18182.5,2822101252.6
1606694400,18182.5,19845.16,18182.5,19693.01,5426268530.64
1606780800,19693.01,19888.07,18112.28,18767.65,5952555132.75
